,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,"[0.45723894238471985, 0.004305372480303049, -0.002689383691176772]","[-0.9643077254295349, 1.0154777765274048, 0.31792759895324707]","[-0.6958104968070984, 0.3159230947494507, -0.2297847867012024]","[1.0813339948654175, -0.7045189142227173, 0.07384666055440903]","[-0.6698012948036194, 0.3194126486778259, -0.22995702922344208]","[-0.5662826299667358, 0.2507350742816925, -0.23130923509597778]","[-0.4179360866546631, 1.2181930541992188, 0.17549854516983032]","[0.7572726607322693, -0.27375319600105286, -0.019404595717787743]","[-0.6239654421806335, 0.30631905794143677, -0.23021893203258514]","[-0.4942648410797119, 0.2378341257572174, -0.23059162497520447]","[-0.4797321856021881, 0.23072011768817902, -0.23055337369441986]","[-0.3954510986804962, 0.1760040670633316, -0.22971226274967194]","[-0.3658941686153412, 1.0983535051345825, 0.07080800831317902]","[-0.16414162516593933, -0.4481208622455597, 0.478965163230896]","[0.7173610925674438, -0.23798786103725433, -0.04696137085556984]","[0.7319414019584656, -0.19159884750843048, 0.021913813427090645]","[-0.44664740562438965, 0.22085456550121307, -0.22920992970466614]","[-0.41628703474998474, 0.18742993474006653, -0.22947531938552856]","[-0.4087059199810028, 0.178390771150589, -0.22956830263137817]","[-0.386732280254364, 0.13809464871883392, -0.22922445833683014]","[-0.40319567918777466, 0.17121140658855438, -0.2296043336391449]","[-0.38445329666137695, 0.13201312720775604, -0.22916951775550842]","[-0.3817352056503296, 0.1248687133193016, -0.22906354069709778]","[-0.3808469772338867, 0.10848356038331985, -0.2293747365474701]","[-0.1699000597000122, 0.9399129748344421, 0.0077384402975440025]","[-0.37445390224456787, 1.047415852546692, 0.07947409898042679]","[-0.7111989259719849, 0.6962253451347351, 0.2566072642803192]","[-0.1608111709356308, -0.19752243161201477, 0.16581618785858154]","[0.7199903130531311, -0.2251315712928772, -0.04727187752723694]","[0.7133674621582031, -0.15919242799282074, 0.0014416358899325132]","[0.7137211561203003, -0.15940743684768677, 0.003684242954477668]","[0.718854546546936, -0.17403560876846313, 0.01390076708048582]"
1,"[0.3076860308647156, 4.4801585318055004e-05, 0.0002320323692401871]","[-1.1594163179397583, 1.1698057651519775, 0.21881887316703796]","[-0.8816540241241455, 0.4843827486038208, -0.07184445112943649]","[1.2395586967468262, -0.8744223117828369, -0.09034659713506699]","[-0.8699359893798828, 0.510439395904541, -0.09371239691972733]","[-0.5278781056404114, 0.2761470377445221, -0.11770331859588623]","[-0.609446108341217, 1.3752524852752686, 0.32083866000175476]","[0.5983562469482422, -0.15962737798690796, -0.0010544632095843554]","[-0.8239610195159912, 0.5002167224884033, -0.11794928461313248]","[-0.4554460644721985, 0.27938398718833923, -0.11294586956501007]","[-0.3901278078556061, 0.23796814680099487, -0.11183791607618332]","[-0.24286147952079773, 0.09817115217447281, -0.1098644956946373]","[-0.5046963095664978, 1.0994620323181152, 0.09603403508663177]","[0.03325192257761955, -0.5390433669090271, 0.41339853405952454]","[0.556056022644043, -0.12268219888210297, -0.00975947454571724]","[0.5718309879302979, -0.081674724817276, 0.013585817068815231]","[-0.5376213788986206, 0.35906219482421875, -0.11035638302564621]","[-0.3426101803779602, 0.20412661135196686, -0.1091197282075882]","[-0.2980273962020874, 0.16163219511508942, -0.1090410128235817]","[-0.24815426766872406, 0.07820317149162292, -0.10774660110473633]","[-0.2701684236526489, 0.12937577068805695, -0.10894902050495148]","[-0.23940424621105194, 0.061029449105262756, -0.10762692242860794]","[-0.2321775257587433, 0.04194139316678047, -0.10738449543714523]","[-0.23688946664333344, 0.021406671032309532, -0.10937021672725677]","[-0.09773776680231094, 0.7698753476142883, 0.005373733583837748]","[-0.5021427273750305, 0.9995725154876709, 0.10322022438049316]","[-0.8019791841506958, 0.8531213998794556, 0.18179477751255035]","[-0.05496613681316376, -0.08923768997192383, 0.06041663512587547]","[0.5595092177391052, -0.11296208947896957, -0.011289202608168125]","[0.5510193109512329, -0.05027526244521141, 0.0035211537033319473]","[0.5515676140785217, -0.05130847916007042, 0.0041841622442007065]","[0.5527551174163818, -0.0659293383359909, 0.007048905361443758]"
2,"[0.1931414008140564, 1.229406052516424e-06, 5.612420864054002e-06]","[-1.4110257625579834, 1.3966575860977173, 0.1016470193862915]","[-1.133131504058838, 0.7219904661178589, 0.10126463323831558]","[1.4517384767532349, -1.101369857788086, -0.2554902136325836]","[-1.1534738540649414, 0.7731412053108215, 0.015786927193403244]","[-0.4553455710411072, 0.30798277258872986, -0.05521928519010544]","[-0.8496047854423523, 1.6002182960510254, 0.4466785788536072]","[0.45114821195602417, -0.08175304532051086, -0.003420938039198518]","[-1.135977029800415, 0.7805066108703613, -0.09241548925638199]","[-0.4670622944831848, 0.3527034521102905, -0.054542176425457]","[-0.29527565836906433, 0.23337319493293762, -0.04628099128603935]","[-0.13070182502269745, 0.05161776766180992, -0.043015725910663605]","[-0.6906527280807495, 1.1840837001800537, 0.12996332347393036]","[0.2844606637954712, -0.7864507436752319, 0.4702395796775818]","[0.41677314043045044, -0.05457104742527008, -0.005658353678882122]","[0.42615020275115967, -0.019563205540180206, 0.0039006508886814117]","[-0.8583827018737793, 0.6374219059944153, -0.08111044764518738]","[-0.3740992546081543, 0.2885478734970093, -0.045576371252536774]","[-0.23146134614944458, 0.16804443299770355, -0.04272880777716637]","[-0.14857052266597748, 0.05096160247921944, -0.040755730122327805]","[-0.1602059006690979, 0.08602520823478699, -0.04189646244049072]","[-0.13330982625484467, 0.026113610714673996, -0.04062197357416153]","[-0.12637987732887268, 0.008641605265438557, -0.040464382618665695]","[-0.1302175372838974, -0.0007193131605163217, -0.04281160980463028]","[-0.0759318470954895, 0.6261672973632812, 0.004037904087454081]","[-0.6638079285621643, 1.034881830215454, 0.15518683195114136]","[-0.9786550998687744, 1.0766602754592896, 0.22843007743358612]","[-0.0002610617666505277, -0.0433310866355896, 0.015482183545827866]","[0.4193249046802521, -0.047709863632917404, -0.005932285450398922]","[0.413159042596817, -0.007333512417972088, -0.001377579988911748]","[0.4134190082550049, -0.008050399832427502, -0.0010659197578206658]","[0.40477707982063293, -0.010224683210253716, 0.0019435161957517266]"
3,"[0.1122601255774498, 1.8246055333293043e-07, 1.1802971755514591e-07]","[-1.687159538269043, 1.6529662609100342, 0.013976797461509705]","[-1.4018980264663696, 0.9709681272506714, 0.2388620525598526]","[1.7176367044448853, -1.3602914810180664, -0.405370831489563]","[-1.4597958326339722, 1.0558021068572998, 0.07960623502731323]","[-0.3354977071285248, 0.2914164662361145, -0.025800783187150955]","[-1.1258292198181152, 1.8528633117675781, 0.5088735818862915]","[0.31081295013427734, -0.027475576847791672, -0.000825335446279496]","[-1.4739911556243896, 1.0910569429397583, -0.1370699405670166]","[-0.48362091183662415, 0.4120655953884125, -0.039759982377290726]","[-0.18290536105632782, 0.18128721415996552, -0.016166605055332184]","[-0.05881001800298691, 0.018827348947525024, -0.01349270436912775]","[-0.918803870677948, 1.333075761795044, 0.18538980185985565]","[0.567054808139801, -1.0776687860488892, 0.5442352294921875]","[0.299514502286911, -0.01581857167184353, -0.0008179312571883202]","[0.29420006275177, 0.009423972107470036, 0.0020788065157830715]","[-1.228093147277832, 0.9637261033058167, -0.2018919438123703]","[-0.514111340045929, 0.4244398772716522, -0.030179591849446297]","[-0.182559996843338, 0.15784905850887299, -0.014192920178174973]","[-0.07920388877391815, 0.027421806007623672, -0.01215458381921053]","[-0.07303497940301895, 0.03426437824964523, -0.012719579041004181]","[-0.06324603408575058, 0.006646494381129742, -0.012076574377715588]","[-0.06005483493208885, -0.0011574000818654895, -0.012029415927827358]","[-0.062385328114032745, -0.00382157857529819, -0.013455891981720924]","[-0.07225940376520157, 0.5016840100288391, 0.0036723928060382605]","[-0.8723794221878052, 1.1555057764053345, 0.23842008411884308]","[-1.2367231845855713, 1.3475784063339233, 0.3518153131008148]","[0.024095434695482254, -0.032464489340782166, 0.0026645073667168617]","[0.30275267362594604, -0.013934971764683723, -0.0009202486253343523]","[0.2980390787124634, 0.004391677677631378, 0.0006830799975432456]","[0.29767683148384094, 0.00454103946685791, 0.0007353773689828813]","[0.27594393491744995, 0.009191619232296944, 0.001169341616332531]"
4,"[0.06013643741607666, 7.574175953095619e-09, 6.838368094008729e-09]","[-1.9832557439804077, 1.9229475259780884, -0.02498031221330166]","[-1.681311011314392, 1.2306089401245117, 0.36532479524612427]","[2.0072131156921387, -1.6299055814743042, -0.5235684514045715]","[-1.7699146270751953, 1.3493576049804688, 0.12418654561042786]","[-0.24829301238059998, 0.24776585400104523, -0.011040903627872467]","[-1.4107974767684937, 2.1178433895111084, 0.5640429258346558]","[0.2412095069885254, 0.022204041481018066, -0.0009061581222340465]","[-1.8097854852676392, 1.4096179008483887, -0.19648566842079163]","[-0.5420010685920715, 0.4769052267074585, -0.04562687501311302]","[-0.10396795719861984, 0.11579839885234833, -0.0044363862834870815]","[-0.025603465735912323, 0.003817946184426546, -0.0033553410321474075]","[-1.166085958480835, 1.506820559501648, 0.2631772756576538]","[0.85711270570755, -1.3828378915786743, 0.5404766798019409]","[0.2200622260570526, 0.012475648894906044, -0.0007454978185705841]","[0.2057303488254547, 0.02554532140493393, 7.789048686390743e-05]","[-1.5892753601074219, 1.2998321056365967, -0.3643067479133606]","[-0.7592458724975586, 0.6370862722396851, -0.06464868783950806]","[-0.15737994015216827, 0.14767135679721832, -0.004343640990555286]","[-0.04107089340686798, 0.013858861289918423, -0.0028184917755424976]","[-0.027657417580485344, 0.007043359335511923, -0.0030035434756428003]","[-0.027554085478186607, 0.000558640225790441, -0.002794071566313505]","[-0.026506470516324043, -0.0016974762547761202, -0.0027892719954252243]","[-0.027515405789017677, -0.002335642697289586, -0.003358461195603013]","[-0.07124919444322586, 0.39076000452041626, 0.0015266030095517635]","[-1.1025961637496948, 1.3219109773635864, 0.33876553177833557]","[-1.5301896333694458, 1.6450351476669312, 0.5102741718292236]","[0.0401044525206089, -0.03734385967254639, 0.00027670484269037843]","[0.2157631665468216, 0.005334203597158194, -0.0006727873114868999]","[0.21289625763893127, 0.010631103068590164, -0.0005677873850800097]","[0.21214081346988678, 0.010829118080437183, -0.0005134594393894076]","[0.18276232481002808, 0.014527680352330208, -7.364247721852735e-05]"
5,"[0.029622714966535568, -2.382372077391892e-10, 4.332029734932519e-10]","[-2.2563748359680176, 2.18784236907959, -0.0289772879332304]","[-1.9442776441574097, 1.4769811630249023, 0.39567631483078003]","[2.2766077518463135, -1.8952722549438477, -0.5776402354240417]","[-2.0656778812408447, 1.628201961517334, 0.0833032876253128]","[-0.16546852886676788, 0.19863003492355347, -0.004547594580799341]","[-1.681240200996399, 2.37801194190979, 0.6176983714103699]","[0.16621924936771393, 0.03165534883737564, -0.0003479866136331111]","[-2.129584550857544, 1.7121074199676514, -0.33324527740478516]","[-0.6073676347732544, 0.5433779358863831, -0.06458817422389984]","[-0.05000429227948189, 0.0637623518705368, -0.0009202600340358913]","[-0.009106766432523727, 0.00034247050643898547, -0.0006515054265037179]","[-1.4013419151306152, 1.684744119644165, 0.3177461326122284]","[1.136086106300354, -1.6804665327072144, 0.4480886459350586]","[0.14975304901599884, 0.01191813312470913, -0.0006019853753969073]","[0.13273975253105164, 0.018508607521653175, -0.0001225012820214033]","[-1.9276375770568848, 1.6226592063903809, -0.5311087965965271]","[-1.0483158826828003, 0.872922420501709, -0.16429215669631958]","[-0.14146479964256287, 0.13571369647979736, -0.0016746592009440064]","[-0.019172294065356255, 0.006514518056064844, -0.000499256479088217]","[-0.008131064474582672, 0.0008331819553859532, -0.0005444167763926089]","[-0.010175298899412155, 5.43726455362048e-05, -0.0004946418339386582]","[-0.009952079504728317, -0.0004146417777519673, -0.0004953680909238756]","[-0.010255156084895134, -0.0005632280954159796, -0.0006562702474184334]","[-0.06957598775625229, 0.2962503135204315, 0.001189432106912136]","[-1.3172705173492432, 1.4952393770217896, 0.42467281222343445]","[-1.8090975284576416, 1.9314277172088623, 0.651726245880127]","[0.05559122562408447, -0.0494234561920166, -1.3857849808118772e-05]","[0.14431354403495789, 0.004812153521925211, -0.00041161454282701015]","[0.14454296231269836, 0.005853050854057074, -0.00022811874805483967]","[0.14353395998477936, 0.00608726916834712, -0.00019759427232202142]","[0.11276465654373169, 0.008242735639214516, -5.2757925004698336e-05]"
6,"[0.013403749093413353, -6.856846362403302e-13, 1.0532887929903811e-11]","[-2.509385347366333, 2.4299728870391846, -0.012810632586479187]","[-2.181723117828369, 1.701124906539917, 0.4023118019104004]","[2.5364763736724854, -2.1432371139526367, -0.620267927646637]","[-2.333974599838257, 1.8822021484375, 0.038040805608034134]","[-0.10072704404592514, 0.15384185314178467, -0.0015879053389653563]","[-1.9414156675338745, 2.621028423309326, 0.6923382878303528]","[0.11721788346767426, 0.0325569286942482, -3.630315177360899e-06]","[-2.4182991981506348, 1.982641339302063, -0.46331557631492615]","[-0.6493107080459595, 0.6031598448753357, -0.0817669928073883]","[-0.0199697557836771, 0.03082517348229885, -0.00013412519183475524]","[-0.0029660232830792665, -0.00031800626311451197, -9.645990212447941e-05]","[-1.6322262287139893, 1.8367199897766113, 0.3949994146823883]","[1.4067811965942383, -1.9569556713104248, 0.3232589662075043]","[0.10049054026603699, 0.011236229911446571, -0.00017251051031053066]","[0.08300841599702835, 0.012598798610270023, 0.00015698961215093732]","[-2.2275917530059814, 1.902831792831421, -0.6780996918678284]","[-1.3156746625900269, 1.0920391082763672, -0.2822548449039459]","[-0.11674372106790543, 0.11730705946683884, -0.0008032405748963356]","[-0.00791846215724945, 0.0024270580615848303, -6.503379700006917e-05]","[-0.001956299412995577, -8.290122787002474e-05, -7.348823419306427e-05]","[-0.00331464153714478, -0.00018133294361177832, -6.418016710085794e-05]","[-0.003346044337376952, -0.0002435449423501268, -6.609374395338818e-05]","[-0.003416192950680852, -0.00026281329337507486, -9.776173828868195e-05]","[-0.061418306082487106, 0.21798108518123627, 0.00047012727009132504]","[-1.5282602310180664, 1.6461496353149414, 0.5277173519134521]","[-2.0707015991210938, 2.1913363933563232, 0.789387583732605]","[0.07784788310527802, -0.06630273908376694, -8.243553747888654e-05]","[0.09361720085144043, 0.004860592074692249, -6.538122397614643e-05]","[0.09537059813737869, 0.004979458637535572, -2.3094085918273777e-05]","[0.09418179839849472, 0.004973528441041708, -1.6764013707870618e-05]","[0.06612620502710342, 0.004746519029140472, -8.995898497232702e-06]"
7,"[0.005565922241657972, 2.0629496917147494e-13, -4.565399707584517e-13]","[-2.736619234085083, 2.6508193016052246, -0.0010392321273684502]","[-2.404562473297119, 1.9096474647521973, 0.40778693556785583]","[2.7566041946411133, -2.3801958560943604, -0.6561242938041687]","[-2.584380865097046, 2.1148276329040527, 1.2590543519763742e-05]","[-0.05500733479857445, 0.11386553198099136, -0.0005282050697132945]","[-2.1746649742126465, 2.861726760864258, 0.7757946252822876]","[0.08038970828056335, 0.03315412998199463, 5.496231096913107e-05]","[-2.684086322784424, 2.2284350395202637, -0.5821641087532043]","[-0.6938258409500122, 0.6427634954452515, -0.09195088595151901]","[-0.006672629155218601, 0.012899070978164673, -1.250743844138924e-05]","[-0.0008354383753612638, -0.00019805438932962716, -1.1027648724848405e-05]","[-1.8290413618087769, 1.9877407550811768, 0.47969603538513184]","[1.6557109355926514, -2.2307138442993164, 0.18344511091709137]","[0.06403902918100357, 0.009524960070848465, -2.3610846255905926e-05]","[0.0497804693877697, 0.009396866895258427, 1.2673787750827614e-05]","[-2.4956979751586914, 2.151545286178589, -0.8046351671218872]","[-1.5731408596038818, 1.2777094841003418, -0.3800240755081177]","[-0.09351427853107452, 0.09082106500864029, -0.00038317948929034173]","[-0.0029789612162858248, 0.0008495530346408486, -6.900551397848176e-06]","[-0.0003837812982965261, -3.069674130529165e-05, -6.981961178098572e-06]","[-0.0009364971192553639, -5.634780245600268e-05, -6.206912985362578e-06]","[-0.0009783792775124311, -5.958537440164946e-05, -6.112817118264502e-06]","[-0.000986965256743133, -6.87380088493228e-05, -1.0933354133157991e-05]","[-0.04823492094874382, 0.15707336366176605, 0.00016188985318876803]","[-1.6973072290420532, 1.792824387550354, 0.6169304251670837]","[-2.2919888496398926, 2.4361443519592285, 0.9045038819313049]","[0.10328738391399384, -0.08971202373504639, -0.00020426562696229666]","[0.057486433535814285, 0.003633007872849703, -9.897617928800173e-06]","[0.060386236757040024, 0.0038165550213307142, -1.3629010936710984e-05]","[0.05929587408900261, 0.003843635553494096, -1.2187345419079065e-05]","[0.03685198351740837, 0.0030161067843437195, -4.477031779970275e-06]"
8,"[0.002118073869496584, -7.720176765663861e-15, -8.475105044299623e-15]","[-2.9418745040893555, 2.854471445083618, 0.009179936721920967]","[-2.614300012588501, 2.1084392070770264, 0.3885570466518402]","[2.9658305644989014, -2.604571580886841, -0.6970092058181763]","[-2.8231616020202637, 2.335038900375366, -0.04509483277797699]","[-0.02228379435837269, 0.0853453055024147, -0.00019617647922132164]","[-2.401841878890991, 3.0882420539855957, 0.8389607071876526]","[0.047320250421762466, 0.024653825908899307, 1.4763139006390702e-05]","[-2.937558174133301, 2.461286783218384, -0.6874623894691467]","[-0.7143723964691162, 0.6883540153503418, -0.10033836960792542]","[-0.0015778278466314077, 0.0050931163132190704, -5.098826818539237e-07]","[-0.00018273379828315228, -7.253381045302376e-05, -7.188575636973837e-07]","[-2.016209840774536, 2.1152615547180176, 0.5539810061454773]","[1.898094892501831, -2.4865219593048096, 0.06811591237783432]","[0.03711315616965294, 0.005816411692649126, -2.0068488083779812e-05]","[0.026942476630210876, 0.005055462941527367, 1.7089372704504058e-05]","[-2.7473840713500977, 2.380420207977295, -0.9045860767364502]","[-1.815625548362732, 1.4508382081985474, -0.4487115144729614]","[-0.06773696094751358, 0.07026837766170502, -0.00016404168854933232]","[-0.0009511036332696676, 0.000294283265247941, -2.2422929646381817e-07]","[-5.5923355830600485e-05, -5.943537416897016e-06, -3.389925780084013e-07]","[-0.00021655179443769157, -1.9577686543925665e-05, -7.293177759493119e-07]","[-0.0002358619967708364, -1.881172829598654e-05, -7.412912736981525e-07]","[-0.00023420642537530512, -1.925967626448255e-05, -7.367810326286417e-07]","[-0.033912211656570435, 0.1100848838686943, 4.3040639866376296e-05]","[-1.8545265197753906, 1.911109447479248, 0.6773223876953125]","[-2.4989631175994873, 2.6579318046569824, 0.9907469153404236]","[0.13852761685848236, -0.11770608276128769, -0.0004902701475657523]","[0.032853301614522934, 0.002141248667612672, -2.2809492747910554e-06]","[0.03593282029032707, 0.002251936122775078, -2.901948846556479e-06]","[0.03505764156579971, 0.0021805057767778635, -1.932495479195495e-06]","[0.018920280039310455, 0.0013815538259223104, 5.932955104981374e-07]"
9,"[0.0007370702805928886, 6.351736620570958e-17, 7.872450737327963e-16]","[-3.1267619132995605, 3.030315637588501, 0.014854665845632553]","[-2.806640386581421, 2.283750057220459, 0.3419334292411804]","[3.1563057899475098, -2.80844783782959, -0.741439700126648]","[-3.0424342155456543, 2.5272817611694336, -0.11937513947486877]","[-0.0028380791191011667, 0.06476403027772903, -9.15419077500701e-05]","[-2.6077284812927246, 3.2971701622009277, 0.9083836078643799]","[0.028732579201459885, 0.017729273065924644, 1.558408075652551e-05]","[-3.1695828437805176, 2.6684863567352295, -0.8126857876777649]","[-0.7103769183158875, 0.7052268385887146, -0.1016230583190918]","[-0.00013539505016524345, 0.0019285304006189108, -3.931803007617418e-07]","[-3.6820823879679665e-05, -2.241246693301946e-05, 7.86969337696064e-07]","[-2.1780688762664795, 2.2007944583892822, 0.6333905458450317]","[2.1162450313568115, -2.7219724655151367, -0.06223271042108536]","[0.020907985046505928, 0.003782726591452956, 1.693190597507055e-06]","[0.014171837829053402, 0.0028758023399859667, 6.422993919841247e-06]","[-2.9737741947174072, 2.5817360877990723, -1.01433265209198]","[-2.0237278938293457, 1.5737477540969849, -0.5184152722358704]","[-0.0430581234395504, 0.04518774151802063, -5.85271991440095e-05]","[-0.000267227238509804, 5.4089035984361544e-05, -1.0355182666899054e-06]","[-6.671350547549082e-06, -1.298043571296148e-06, -3.7944022324154503e-07]","[-4.356012141215615e-05, -5.084438271296676e-06, 2.8083178449378465e-07]","[-4.9731657782103866e-05, -5.038855306338519e-06, -1.730758754092676e-07]","[-4.859582259086892e-05, -5.516452802112326e-06, -2.3820670946861355e-07]","[-0.02044701762497425, 0.07467740774154663, 1.809778950701002e-05]","[-1.9756821393966675, 1.9818888902664185, 0.7470301985740662]","[-2.6693968772888184, 2.857344388961792, 1.0766509771347046]","[0.1613009124994278, -0.14026296138763428, -0.0009052911191247404]","[0.018014760687947273, 0.001354143605567515, -8.728073197517006e-08]","[0.02064550295472145, 0.0014861378585919738, 2.035695160884643e-06]","[0.020006615668535233, 0.0014257965376600623, 2.2279657230228622e-07]","[0.00927705131471157, 0.00074078916804865, -2.229809524578741e-06]"
